Title,Description,Priority,Labels
FIN-002: Categories CRUD (create/list),"Problem: categories table exists but no RPCs or repo.
Subtasks:
- [ ] Add category repo/service under `internal/domain/finance`.
- [ ] Implement CreateCategory/ListCategories in `internal/domain/finance/handler/finance_handler.go`.
- [ ] Add tests for categories.
Acceptance: categories persist and list per user.",Urgent,"MVP, Finance"
FIN-003: Transactions list endpoint,"Problem: ListTransactions RPC is unimplemented; repo exists.
Subtasks:
- [ ] Wire handler to `ImportRepository.ListTransactions` in `internal/domain/finance/handler/finance_handler.go`.
- [ ] Validate filters/pagination and add search semantics.
- [ ] Add tests for filtering and pagination.
Acceptance: list endpoint returns total and filtered rows with stable ordering.",Urgent,"MVP, Finance"
FIN-004: Goals CRUD + pacing,"Problem: goals table exists but no RPCs or logic.
Subtasks:
- [ ] Add goal repo/service under `internal/domain/finance`.
- [ ] Implement CreateGoal/ListGoals in `internal/domain/finance/handler/finance_handler.go`.
- [ ] Compute pacing/behind-plan fields in the service.
Acceptance: goals return progress and pacing metadata.",High,"MVP, Finance"
FIN-005: Recurring subscriptions list,"Problem: recurring_subscriptions table exists but no RPCs.
Subtasks:
- [ ] Add repo/service for `recurring_subscriptions`.
- [ ] Implement ListRecurringSubscriptions in `internal/domain/finance/handler/finance_handler.go`.
- [ ] Add tests for list filters.
Acceptance: endpoint returns recurring items per user.",High,"MVP, Finance"
NORM-001: Merchant normalization pipeline,"Problem: imports only clean description; `merchant_name` is unused.
Subtasks:
- [ ] Add merchant normalization rules table (new migration under `pkg/db/migrations`).
- [ ] Extend `ParsedTransaction` with merchant name in `internal/domain/import/repository/repository.go`.
- [ ] Populate `merchant_name` in `internal/domain/import/service/service.go` and insert in `postgres_repository.go`.
- [ ] Add override endpoint for merchant name (new handler in finance or import domain).
Acceptance: normalized merchant names are stored and can be overridden.",High,"MVP, Normalization"
NORM-002: Categorization rules + user overrides,"Problem: category mapping from CSV is ignored and no override system exists.
Subtasks:
- [ ] Map CSV category text to `categories` on import (create if missing) in `internal/domain/import/service/service.go`.
- [ ] Add rule/override storage (new migration under `pkg/db/migrations`).
- [ ] Implement transaction category override RPC and persistence (finance handler + repo).
Acceptance: overrides persist and show up in insights.",High,"MVP, Normalization"
INS-001: Spending overview endpoint,"Problem: MVP needs top categories/merchants and trends; no API exists.
Subtasks:
- [ ] Add aggregation queries over `transactions` (new repo under `internal/domain/insights`).
- [ ] Implement spending overview RPC (new handler/service or finance handler).
- [ ] Add tests with known fixtures.
Acceptance: endpoint returns MTD vs last month, top categories/merchants, and trend deltas.",Urgent,"MVP, Insights"
INS-002: Monthly insights generator + API,"Problem: `monthly_insights` table exists but unused.
Subtasks:
- [ ] Build a monthly insights job (new service/worker).
- [ ] Store results in `monthly_insights`.
- [ ] Add RPC to fetch insights for a month.
Acceptance: insights include highlights and one action prompt.",High,"MVP, Insights"
INS-003: Mini-wrapped summaries,"Problem: `wrapped_summaries` table exists but unused.
Subtasks:
- [ ] Generate shareable card JSON and store in `wrapped_summaries`.
- [ ] Add RPC to fetch wrapped summaries.
- [ ] Apply privacy filters by default.
Acceptance: wrapped payload returns share-safe cards.",High,"MVP, Insights"
INS-004: Subscription detection job,"Problem: recurring charge detection is a core MVP feature but missing.
Subtasks:
- [ ] Implement recurring detection logic (merchant + cadence).
- [ ] Update `recurring_subscriptions` with cadence/next_expected_at.
- [ ] Schedule job or background runner.
Acceptance: detection job populates recurring subscriptions for active users.",High,"MVP, Insights"
FDN-001: Net worth entries + runway metric,"Problem: net worth tables exist but no API or calculations.
Subtasks:
- [ ] Add net worth repo/service under `internal/domain/foundation`.
- [ ] Implement CRUD and snapshot generation (net_worth_entries/net_worth_snapshots).
- [ ] Compute runway from average spend and balances.
Acceptance: endpoint returns assets, liabilities, net, and runway.",High,"MVP, Foundation"
GOAL-002: Goal burn rate insight,"Problem: README calls for burn-rate pacing but no logic.
Subtasks:
- [ ] Add forecast calculation to goals service.
- [ ] Include projected completion date and ahead/behind flags in responses.
- [ ] Add tests for pace calculations.
Acceptance: goals show burn-rate projections.",Medium,"Pre-MVP, Goals"
BYOS-001: Spreadsheet template upload + field mapping,"Problem: spreadsheet_templates/mappings tables exist but no APIs.
Subtasks:
- [ ] Implement template upload using `spreadsheet_templates` + `user_files`.
- [ ] Add mapping CRUD for `spreadsheet_mappings`.
- [ ] Add RPCs (proto update + handlers).
Acceptance: mappings persist and can be retrieved for export.",Medium,"MVP, BYOS"
BYOS-002: Export computed views (shareable/read-only),"Problem: BYOS requires export but no output path exists.
Subtasks:
- [ ] Generate computed views into a new XLSX or CSV (service under `internal/domain/byos`).
- [ ] Add shareable export endpoint and signed URLs.
- [ ] Exclude sensitive fields by default.
Acceptance: exports are read-only and share-safe.",Medium,"MVP, BYOS"
PAY-001: Stripe Checkout + entitlements (feature-flagged),"Problem: payments tables exist but no flows.
Subtasks:
- [ ] Implement checkout session creation and persist `payment_checkout_sessions`.
- [ ] Add webhook handler with idempotency using `payment_webhook_events`.
- [ ] Grant/revoke entitlements via `user_entitlements`.
- [ ] Gate endpoints with feature flag in config.
Acceptance: paid users receive premium entitlement and can be revoked on cancel.",Low,"Optional, Payments"
PLAT-001: Make Gemini config optional,"Problem: app requires GEMINI env vars even though AI is post-MVP.
Subtasks:
- [ ] Gate Gemini config in `pkg/config/config.go` behind a feature flag or allow empty values.
- [ ] Update `/health/details` in `cmd/api/router.go` to warn only.
- [ ] Update README or config docs if needed.
Acceptance: server starts without GEMINI variables and health shows a warning only.",Urgent,"MVP, Platform, TechDebt"
